name,address,category,logo
12 x 12,"810, 22 Soi Thara Rom 2, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110",Other,
Ambient Bar BKK,"300 Soi Sirichai 2, Khwaeng Samran Rat, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",Other,
Amnesia,"21, 77 Soi Phetchaburi 47 Yaek 10, Khwaeng Bang Kapi, Khet Huai Khwang, Krung Thep Maha Nakhon 10310",Other,
Avve,"3 25 25 Soi Edison, Khwaeng Phra Khanong Nuea, Watthana, Krung Thep Maha Nakhon 10110",Other,
Bangkok Island,"499/1 Rama III Soi 64, Khwaeng Chong Nonsi, Khet Yan Nawa, Krung Thep Maha Nakhon 10120",Other,
Bar Temp.,"695ซ2 ชั้น 1 Thanon Maitri Chit, Khwaeng Pom Prap, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",Other,
Berlin BKK,"5th fl room 503, 107 Soi Sukhumvit 63, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110",Other,
Blaq Lyte Bloq,"251/1, 13 ถ. ทองหล่อ แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110",Other,
"Clutch, Warehouse Bangkok","The Warehouse, 867 ถ. เจริญกรุง 2F, Khet Samphanthawong, Krung Thep Maha Nakhon 10100",Other,
Culture Cafe,"249 Thanon Samsen, Khwaeng Wat Sam Phraya, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",Other,
Dirty Rabbit Hidden Bar,"23, 11 Thanon Yen Akat, Khwaeng Chong Nonsi, Khet Yan Nawa, Krung Thep Maha Nakhon 10120",Other,
Dual,"Soi Naradhiwas Rajanagarindra 3, Si Lom, Khet Bang Rak, Krung Thep Maha Nakhon 10500",Other,
Elsewhere,"9th floor, Trinity Complex, Soi Naradhiwas Rajanagarindra 3, Si Lom, Khet Bang Rak, Krung Thep Maha Nakhon 10500",Other,
Entertainment Project,"1107, Khwaeng Si Phraya, Khet Bang Rak, Krung Thep Maha Nakhon 10500",Other,
Goja,"〒10110 Bangkok, Watthana, Bangkok, Sukhumvit 71 Rd, Prideebanoonyong3",Other,
Horn,"4th floor, 71 -73 Soi Silom 4, Khwaeng Suriya Wong, Khet Bang Rak, Krung Thep Maha Nakhon 10500",Other,
Irie Bangkok,"48 Chakrabongse Rd, Khwaeng Talat Yot, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",Other,
Otaqlab Bangkok,"490, 2 Phahon Yothin Road, Samsen Subdistrict, Khet Phaya Thai, Krung Thep Maha Nakhon 10400",Other,
Siwilai Radical Club,"148 Soi Thong Lo, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110",Other,
Subwerk Club,"2, 1 และ 2/3 Decho Rd, Khwaeng Suriya Wong, Suriyawong, Krung Thep Maha Nakhon 10500",Other,
TBA,,Other,
TBA - Baccarat Bangkok,"88 Soi Sukhumvit 24, Khwaeng Khlong Tan, Khet Khlong Toei, Krung Thep Maha Nakhon 10110",Other,
TBA - Charoenkrung Area & One Bangkok,"Thanon Witthayu, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330",Other,
TBA - Mustache Bangkok - Silom Road,"Decho Rd, Suriyawong, Khet Bang Rak, Krung Thep Maha Nakhon 10500",Other,
"TBA - Pat arena, Bangkok","153 Tharuea Road, Khwaeng Khlong Toei, Khet Khlong Toei, Krung Thep Maha Nakhon 10110",Other,
Yoshibar,"124 Soi Sukhumvit 53, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110",Other,
TBA - 8F. at The Westin Grande Sukhumvit Bangkok,,Other,
"TBA - LAY BEACH CLUB, Pattaya Beach Road @ Melia Hotel",,Other,
"TBA - 1981 soul & sold building (Ramkhamhaeng 15), Bangkok",,Other,
Baccarat,,Other,
Goethe-Institut Thailand,,Other,
TBA - mustache Bangkok SILOM DECHO ROAD,,Other,
Central World,,Other,
Mustache Bar,,Other,
"TBA - Tomoki Tamura @Clutch, Warehouse Bangkok",,Other,
TBA - GEARBOX The Warehouse Talat Noi,,Other,
Midori Music Bar Bangkok,,Other,
Bangkok Community Radio,,Other,
Sing Sing Theater,,Other,
L'envol Art Space,,Other,
Le Café des Stagiaires Bangkok,,Other,
TBA - AMBER ROOFTOP & CLUB,,Other,
TBA - AMARA Hotel ,,Other,
TBA - OtaQlab,,Other,
The Wireless Club,,Other,
Chang Chui Creative Park,,Other,
Bangkok Kunsthalle,,Other,
Speakerbox,,Other,
